TRK_VERSION,0.5
Images,ExpID2976_P3_TL01.png,,ExpID2976_P3_TL02.png,,ExpID2976_P3_TL03.png,,ExpID2976_P3_TL04.png,,ExpID2976_P3_TL05.png,,ExpID2976_P3_TL06_grey_adj.png,,ExpID2976_P3_TL07_grey_adj.png,
Point 39,7.154e-05,0.00011158,0.00011109,0.0001757,0.00014245,0.00022547,0.00024213,0.00037751,0.00029925,0.00046725,0.00034433,0.00054145,0.00039361,0.00062853
Point 40,7.343e-05,9.702e-05,0.00011641,0.00015442,0.00014903,0.00018501,0.00025193,0.00030555,0.00031101,0.00036533,0.00036393,0.00039921,0.00041909,0.00043841
Point 41,6.839e-05,9.954e-05,0.00010836,0.00015897,0.00013734,0.0001932,0.0002359,0.0003199,0.00029162,0.00038752,0.00034062,0.00042952,0.00039018,0.000476
Point 42,6.559e-05,5.187e-05,0.00010507,8.757e-05,0.00013405,7.189e-05,0.00023317,0.00012761,0.00028483,0.00012705,0.00033215,8.225e-05,0.00038115,4.557e-05
Point 43,6.37e-05,5.166e-05,0.00010157,8.68e-05,0.00012789,7.084e-05,0.00022491,0.00012628,0.00027657,0.00012572,0.00031829,7.868e-05,0.00036561,4.088e-05
Point 44,6.524e-05,4.648e-05,0.00010409,7.819e-05,0.00013153,5.971e-05,0.00022953,0.00011263,0.00028287,0.00010983,0.00032375,6.111e-05,0.00037527,1.967e-05
Point 45,6.216e-05,6.097e-05,9.87e-05,0.00010059,0.00012222,9.233e-05,0.00021868,0.00015365,0.00026796,0.00015967,0.00030912,0.00011795,0.0003514,8.939e-05
Point 46,8.897e-05,5.957e-05,0.00013958,9.821e-05,0.00018543,8.862e-05,0.00029799,0.00014952,0.00036939,0.00015764,0.00043267,0.00011424,0.00049847,7.952e-05
Point 47,9.184e-05,6.412e-05,0.00014238,0.00010605,0.00019173,0.00010164,0.00030681,0.00016688,0.00038017,0.00017892,0.00044681,0.0001386,0.00051597,0.00010892
Point 48,9.527e-05,6.762e-05,0.00014777,0.00010997,0.00020055,0.00010899,0.00032053,0.00017731,0.00040033,0.00019355,0.00047201,0.00015407,0.00054789,0.00012439
Point 49,9.506e-05,7.042e-05,0.00014651,0.0001155,0.00019943,0.00011816,0.00032011,0.00019096,0.00039739,0.00021224,0.00046879,0.00017836,0.00054271,0.00015512
Point 50,9.562e-05,7.749e-05,0.00014798,0.00012691,0.00020195,0.0001393,0.00032431,0.00022568,0.00040215,0.000259,0.00047831,0.00024192,0.00055895,0.00023184
Point 51,8.974e-05,4.816e-05,0.00013951,7.98e-05,0.00017962,5.845e-05,0.00028882,0.00011039,0.00035546,0.00010857,0.00040726,5.705e-05,0.00046326,1.701e-05
Point 52,9.331e-05,5.124e-05,0.00014441,8.47e-05,0.00018837,6.601e-05,0.00029939,0.00011963,0.00037023,0.00011963,0.00042651,6.895e-05,0.00048839,2.975e-05
Point 53,9.156e-05,5.663e-05,0.00014273,9.436e-05,0.00018907,8.19e-05,0.00030191,0.0001393,0.00037471,0.00014378,0.00043715,9.618e-05,0.00050211,5.922e-05
Point 54,6.202e-05,7.133e-05,9.786e-05,0.00011669,0.00011725,0.00011984,0.00020881,0.00019516,0.00025417,0.00021462,0.00028945,0.0001897,0.00032641,0.00017094
Point 55,6.286e-05,7.91e-05,9.996e-05,0.00012908,0.00012089,0.00014133,0.00021315,0.00022967,0.00026033,0.00026621,0.00029337,0.00025865,0.00031661,0.00026397
Point 56,6.188e-05,8.624e-05,0.00010059,0.00013895,0.00012215,0.00016009,0.00021315,0.00026257,0.00026299,0.00031017,0.00029211,0.00031241,0.00031647,0.00031969
Point 57,6.762e-05,8.834e-05,0.00010689,0.00014175,0.00013503,0.00016415,0.00023373,0.00027069,0.00028749,0.00032151,0.00033117,0.00033019,0.00037093,0.00034671
Point 58,8.89e-05,0.00011228,0.00013398,0.00017696,0.00017556,0.00022925,0.00028616,0.00038157,0.00034818,0.00047537,0.00039662,0.00055629,0.00045402,0.00064421
Point 59,6.846e-05,0.00010934,0.00010794,0.00017276,0.00013692,0.00022015,0.00023464,0.00036939,0.00029022,0.00045675,0.00033502,0.00052815,0.00038178,0.00061131
Point 60,,,0.00013097,8.743e-05,0.00017017,7.063e-05,0.00027601,0.00012621,0.00034027,0.00012621,0.00039767,7.917e-05,0.00045423,4.249e-05
Point 61,,,0.00014182,8.918e-05,0.0001855,7.434e-05,0.00029624,0.00013076,0.00036666,0.00013454,0.0004263,8.638e-05,0.00048762,4.858e-05
Point 62,,,0.00011018,0.00010108,0.00014154,9.352e-05,0.00024192,0.0001561,0.00029652,0.00016436,0.00035,0.00012516,0.00040236,9.604e-05
Point 63,,,0.00011865,0.00010248,0.00015575,9.59e-05,0.00026033,0.00015974,0.00031969,0.00017024,0.00037821,0.00013244,0.00043365,0.00010472
Point 64,,,0.00011984,0.0001043,0.0001575,9.926e-05,0.00026278,0.0001652,0.00032354,0.00017752,0.0003843,0.00014168,0.00044058,0.0001162
Point 65,,,0.00013013,0.00010444,0.00017283,9.912e-05,0.00028175,0.0001645,0.00034853,0.00017752,0.00041041,0.00014028,0.00047201,0.00011424
Point 66,,,0.00012257,0.00011592,0.00016072,0.00011998,0.00026684,0.00019432,0.00032844,0.00021742,0.00039144,0.00019166,0.00044996,0.00017682
Point 67,,,0.00011928,0.00012656,0.00015603,0.00013713,0.00026075,0.00022309,0.00032053,0.00025711,0.00038129,0.00024423,0.00043645,0.00024367
Point 68,,,0.0001288,0.00016303,0.00017003,0.0002037,0.00028049,0.0003388,0.00034209,0.00041132,0.00039445,0.0004634,0.00045605,0.00051716
Point 69,,,0.00013545,0.00016303,0.00017899,0.00020384,0.00029085,0.0003388,0.00035441,0.00041104,0.00040845,0.00046536,0.00047341,0.00051884
Point 70,,,0.00010248,0.00011578,0.00012684,0.00011886,0.00022316,0.00019362,0.00027342,0.00021504,0.0003171,0.00018872,0.00036106,0.00017416
Point 71,,,0.0001043,0.00012824,0.00013041,0.00013888,0.00022743,0.00022568,0.00027993,0.00026068,0.00032081,0.00025144,0.00035497,0.00025116
Point 72,,,9.688e-05,0.00010822,0.0001169,0.00010444,0.00021112,0.0001729,0.00025816,0.00018592,0.00029596,0.00015064,0.0003374,0.00012376
