"Cell","Time","Daughter cell 1","Daughter cell 2","Division point 1","Division point 2","TimeHours1","TimeHours2","Lineage","DirectMother","OldestAncestor","TimeHours1_Birth","TimeHours2_Birth","Area_At_Division","Area_Daughter1_At_Division","Area_Daughter2_At_Division","Symmetry","DT_Used_To_Compute_Growth","karea","kmaj","kmin","theta","phi","aniso","kx","ky","Mean_Time_Division","Mean_Time_Birth","Cell_Cycle_Duration"
"Cell 369",3,375,376,523,524,47,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA
"Cell 370",3,377,378,519,520,47,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA
"Cell 371",4,379,380,527,528,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 372",4,381,382,529,530,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 373",4,383,384,531,532,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 374",4,385,386,533,534,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 377",4,387,388,535,536,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 378",4,389,390,537,538,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 395",3,396,397,546,545,47,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA
"Cell 397",4,398,399,547,548,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 402",4,404,405,559,560,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 405",6,613,614,909,908,122,143,233,"Cell 402","Cell 405",71,96,199.675,80.3684762745468,119.306523725453,0.804992876169243,21,0.0219202400289732,0.0159721458527128,0.00494901042807988,244.514958148269,-0.00444327860068575,0.690147430801271,0.00727022239203352,0.0136509338887591,132.5,83.5,49
"Cell 408",4,411,412,572,573,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 410",4,413,414,574,575,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 413",6,615,616,911,910,122,143,239,"Cell 410","Cell 413",71,96,123.9994,46.7194990119887,77.279900988011,0.753543952825398,21,0.0335700671619622,0.0268697909528941,0.000346160033962278,227.873855446736,-0.00862077651676845,0.987117129620802,0.0131249512562164,0.0140909997306399,132.5,83.5,49
"Cell 416",4,418,419,583,582,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 417",5,420,421,584,585,96,122,242,NA,"Cell 417",NA,NA,166.060999999999,51.7170149838631,114.343985016136,0.622867680958965,26,0.0361548346284514,0.0245748459075663,0.0123599823776784,29.8655715014995,-0.0056207789400072,0.497047410829423,0.0218763934675258,0.0150584348177189,109,NA,NA
"Cell 418",6,611,612,906,907,122,143,243,"Cell 416","Cell 418",71,96,257.8674,115.289527546219,142.577872453781,0.894176833102741,21,0.019651071700767,0.0169420400190508,0.00187143839046255,228.248217424027,-0.00788717362602911,0.889538781140986,0.00903390964969763,0.00977956875981577,132.5,83.5,49
"Cell 423",4,426,427,595,596,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 425",4,428,429,593,594,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 431",5,444,445,623,624,96,122,252,NA,"Cell 431",NA,NA,99.7248000000002,58.1868075732036,41.5379924267965,0.83305240876485,26,0.0353491432731243,0.0250871308514169,0.0110254949831972,19.6976295649699,-0.00741562942403545,0.560511919497782,0.023763427992068,0.0123491978425461,109,NA,NA
"Cell 434",4,435,436,608,607,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 447",4,450,451,634,635,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 448",4,452,453,636,637,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 459",4,460,461,658,657,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 479",4,480,481,696,697,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 484",5,486,487,707,708,96,122,298,NA,"Cell 484",NA,NA,390.824000000001,243.052956594848,147.771043405152,0.75620250243154,26,0.0161317708599604,0.0149189431134704,0.0012953896862828,-72.4096350262206,-0.00147043618556637,0.913171484304864,0.00230043447439569,0.0139138983253575,109,NA,NA
"Cell 488",4,489,490,711,712,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 491",4,500,501,745,746,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 492",5,516,517,748,749,96,122,302,NA,"Cell 492",NA,NA,164.0912,91.7855266134253,72.3056733865745,0.881286423483704,26,0.0194970804045712,0.0157211496048362,0.00396507742210812,-50.4451970782822,-0.00102773452338361,0.747787056177598,0.00836632515645422,0.0113199018704901,109,NA,NA
"Cell 493",4,502,503,743,744,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 494",4,504,505,741,742,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 495",4,506,507,739,740,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 496",4,508,509,738,737,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 497",4,510,511,736,735,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 498",4,512,513,734,733,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 499",4,514,515,732,731,71,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5,NA,NA
"Cell 554",5,555,556,799,800,96,122,355,NA,"Cell 554",NA,NA,310.6992,168.282628094406,142.416571905593,0.916748880625335,26,0.0195509381074948,0.0212067626638967,-0.00208910048138687,-86.8671807832709,-0.00366920939627961,1.09851105114424,-0.0020770615018695,0.0211947236843793,109,NA,NA
"Cell 560",5,561,562,808,809,96,122,359,NA,"Cell 560",NA,NA,238.8848,98.2040448164843,140.680755183515,0.822187471253797,26,0.0222613081791656,0.0236098454044378,-0.00171072196379482,-82.4743518370822,-0.00228624209061258,1.07245799091396,-0.00146134740851796,0.023360470849161,109,NA,NA
"Cell 578",5,579,580,843,844,96,122,375,NA,"Cell 578",NA,NA,147.1764,96.8141595968856,50.3622404031142,0.684379294548776,26,0.0244769212827554,0.014872848700115,0.0111990071572856,-64.6392218364154,-0.00508844950164781,0.247016668891484,0.0117845853654812,0.0142872704919193,109,NA,NA
"Cell 583",6,584,585,854,855,122,143,378,NA,"Cell 583",NA,NA,190.0416,93.3095995032084,96.7320004967914,0.981991306147796,21,0.0328397341602462,0.0187255082679675,0.0140479183096263,-83.0198955091433,-0.000952198721424111,0.249797756696565,0.0140856064202523,0.0186878201573415,132.5,NA,NA
"Cell 624",6,626,627,931,932,122,143,411,NA,"Cell 624",NA,NA,117.4432,67.8010594249758,49.6421405750245,0.845381266433892,21,0.0314541308342916,0.0205614504737279,0.0106432205380726,-26.210407264137,0.00459607258695386,0.482370149339812,0.0183696061609796,0.0128350648508209,132.5,NA,NA
