"Cell","Time","Daughter cell 1","Daughter cell 2","Division point 1","Division point 2","TimeHours1","TimeHours2","Lineage","DirectMother","OldestAncestor","TimeHours1_Birth","TimeHours2_Birth","Area_At_Division","Area_Daughter1_At_Division","Area_Daughter2_At_Division","Symmetry","DT_Used_To_Compute_Growth","karea","kmaj","kmin","theta","phi","aniso","kx","ky","Mean_Time_Division","Mean_Time_Birth","Cell_Cycle_Duration"
"Cell 217",2,219,220,128,129,22,47,33,"Cell 13","Cell 217",0,22,123.16885,69.766918162377,53.4019318376231,0.867133724762764,25,0.0381445537182354,0.02111243498956,0.0154965223229814,269.588606862389,-0.00060067165807537,0.266000234902117,0.0155051138270298,0.0211038434855117,34.5,11,23.5
"Cell 218",3,237,238,221,222,47,71,34,"Cell 13","Cell 218",0,22,143.932599999999,74.3286715816713,69.603928418328,0.967173919158389,24,0.0368335640198802,0.0233893829316942,0.0122729602276751,-77.1677420728875,0.00236227505072611,0.475276442156822,0.0126778369378446,0.0229845062215247,59,11,48
"Cell 219",4,241,242,235,236,71,96,33,"Cell 217","Cell 217",22,47,439.106150000001,236.045405550292,203.060744449709,0.9248822611558,25,0.0179461879775532,0.0102279240344536,0.00746213333974452,-71.2066157195506,0.000688125237952088,0.270415646947735,0.00769756350066275,0.00999249387353533,83.5,34.5,49
"Cell 220",3,235,236,174,175,47,71,33,"Cell 217","Cell 217",22,47,138.5818,72.2132493311316,66.3685506688683,0.957824918840257,24,0.0386236777714143,0.0233039889529333,0.014478399984082,-87.3191109150068,0.00149764677949882,0.378715806408773,0.0144803453558856,0.0233020435811297,59,34.5,24.5
"Cell 222",2,223,224,275,276,22,47,36,NA,"Cell 222",NA,NA,154.1589,73.3924448545994,80.7664551454007,0.952166172106824,25,0.0304758533759152,0.0216887952826176,0.0093628414436752,44.7313158237691,0.00181380803454341,0.568309750649035,0.0159769454623592,0.0150746912639336,34.5,NA,NA
"Cell 228",2,230,231,296,297,22,47,30,"Cell 92","Cell 92",22,47,39.8908999999999,19.3847276127898,20.5061723872101,0.971887202985636,25,0.0414533117435949,0.0236440100083805,0.0172339674081573,-87.7729501268274,-0.000774831227602768,0.271106406990658,0.0172342749110045,0.0236437025055333,34.5,34.5,0
"Cell 229",2,232,233,298,299,22,47,30,"Cell 92","Cell 92",22,47,0,0,0,NA,25,0.0414533117435949,0.0236440100083805,0.0172339674081573,-87.7729501268274,-0.000774831227602768,0.271106406990658,0.0172342749110045,0.0236437025055333,34.5,34.5,0
"Cell 235",4,239,240,230,229,71,96,33,"Cell 220","Cell 217",47,71,182.471099999999,114.085683227847,68.3854167721517,0.749547920433998,25,0.0173854808991863,0.0127211494451485,0.00446149280260025,-88.7859947375944,0.00138446408102896,0.649285402876722,0.00446244811127139,0.0127201941364773,83.5,59,24.5
"Cell 236",4,243,244,232,231,71,96,33,"Cell 220","Cell 217",47,71,167.7025,103.063129745776,64.6393702542236,0.770881415056111,25,0.0202357239601213,0.0114295111389988,0.00777088508919876,39.2786454158381,-0.000497394449540957,0.320103458958659,0.0100768385843137,0.00912355764388388,83.5,59,24.5
"Cell 237",4,245,246,233,234,71,96,34,"Cell 218","Cell 218",47,71,179.918200000001,77.6250038418892,102.293196158112,0.862892179244666,25,0.020516167416408,0.0137207176105092,0.00603134481634065,268.018999196952,-0.000256914106542676,0.560420599887501,0.00606531750669275,0.0136867449201572,83.5,59,24.5
"Cell 247",2,248,249,284,285,22,47,39,NA,"Cell 247",NA,NA,69.0361000000001,29.2495055263159,39.7865944736843,0.847368421052632,25,0.0469805346179675,0.0241499944999119,0.0225476635894219,-20.048785516569,0.000605859259606413,0.0663491211352381,0.0239274849098535,0.0227701731794803,34.5,NA,NA
"Cell 248",4,252,253,288,289,71,96,39,"Cell 247","Cell 247",22,47,226.135,35.4172488316896,190.71775116831,0.313239868500583,25,0.0154060736499477,0.0103839427571297,0.00509909672513628,-82.3486412225173,0.00109381239938288,0.508944064465763,0.00515346059135042,0.0103295788909155,83.5,34.5,49
"Cell 249",3,250,251,286,287,47,71,39,"Cell 247","Cell 247",22,47,128.772,54.8883157894738,73.8836842105263,0.85248836376656,24,0.0314183486208602,0.0194619680832278,0.0146614139753604,-31.1678024440424,-0.00122402140381901,0.246663342953708,0.018038124133281,0.0160852579253072,59,34.5,24.5
